meta_score,title,platform,date,user_score,link,esrb_rating,developers,genres
,The Legend of Zelda: Majora's Mask,WII,"May 18, 2009",8.7,/game/wii/the-legend-of-zelda-majoras-mask,E,['Nintendo'],"['Action Adventure', 'Fantasy']"
90,The Legend of Zelda: Phantom Hourglass,DS,"Oct 1, 2007",7.9,/game/ds/the-legend-of-zelda-phantom-hourglass,E,['Nintendo'],"['Action Adventure', 'Fantasy', 'Fantasy', 'Open-World']"
,Zelda II: The Adventure of Link,WII,"Jun 4, 2007",7.1,/game/wii/zelda-ii-the-adventure-of-link,E,['Nintendo'],"['Role-Playing', 'Action RPG']"
,The Legend of Zelda: Ocarina of Time,WII,"Feb 26, 2007",8.5,/game/wii/the-legend-of-zelda-ocarina-of-time,E,['Nintendo'],"['Action Adventure', 'Fantasy']"
,The Legend of Zelda: A Link to the Past,WII,"Jan 22, 2007",8.8,/game/wii/the-legend-of-zelda-a-link-to-the-past,E,['Nintendo'],"['Role-Playing', 'Action RPG']"
96,The Legend of Zelda: Twilight Princess,GC,"Dec 11, 2006",9.0,/game/gamecube/the-legend-of-zelda-twilight-princess,T,['Nintendo'],"['Action Adventure', 'Fantasy']"
95,The Legend of Zelda: Twilight Princess,WII,"Nov 19, 2006",9.0,/game/wii/the-legend-of-zelda-twilight-princess,T,['Nintendo'],"['Action Adventure', 'Fantasy', 'General', 'Fantasy', 'Open-World']"
,The Legend of Zelda,WII,"Nov 19, 2006",8.2,/game/wii/the-legend-of-zelda,E,['Nintendo'],"['Action Adventure', 'Fantasy']"
89,The Legend of Zelda: The Minish Cap,GBA,"Jan 10, 2005",8.9,/game/game-boy-advance/the-legend-of-zelda-the-minish-cap,E,['Flagship'],"['Action Adventure', 'Fantasy']"
73,Classic NES Series: Zelda II: The Adventure of Link,GBA,"Oct 25, 2004",7.0,/game/game-boy-advance/classic-nes-series-zelda-ii-the-adventure-of-link,E,['Nintendo'],"['Role-Playing', 'Action RPG']"
86,The Legend of Zelda: Four Swords Adventures,GC,"Jun 7, 2004",7.6,/game/gamecube/the-legend-of-zelda-four-swords-adventures,E,['Nintendo'],"['Action Adventure', 'Fantasy']"
84,Classic NES Series: The Legend of Zelda,GBA,"Jun 2, 2004",8.4,/game/game-boy-advance/classic-nes-series-the-legend-of-zelda,E,['Nintendo'],"['Role-Playing', 'Action RPG']"
95,The Legend of Zelda Collector's Edition,GC,"Nov 17, 2003",8.9,/game/gamecube/the-legend-of-zelda-collectors-edition,E,['Nintendo'],"['Action Adventure', 'Fantasy']"
96,The Legend of Zelda: The Wind Waker,GC,"Mar 24, 2003",9.0,/game/gamecube/the-legend-of-zelda-the-wind-waker,E,['Nintendo'],"['Action Adventure', 'Fantasy']"
91,The Legend of Zelda: Ocarina of Time / Master Quest,GC,"Feb 28, 2003",8.9,/game/gamecube/the-legend-of-zelda-ocarina-of-time-master-quest,E,['Nintendo'],"['Action Adventure', 'Fantasy']"
95,The Legend of Zelda: A Link to the Past,GBA,"Dec 3, 2002",9.0,/game/game-boy-advance/the-legend-of-zelda-a-link-to-the-past,E,['Capcom'],"['Action Adventure', 'Fantasy']"
95,The Legend of Zelda: Majora's Mask,N64,"Oct 25, 2000",9.1,/game/nintendo-64/the-legend-of-zelda-majoras-mask,E,['Nintendo'],"['Action Adventure', 'Fantasy']"
99,The Legend of Zelda: Ocarina of Time,N64,"Nov 23, 1998",9.1,/game/nintendo-64/the-legend-of-zelda-ocarina-of-time,E,['Nintendo'],"['Action Adventure', 'Fantasy']"
